   read entries: 5897003
lang	#sentences	#sentences >50
BG	2291508	1429712
CS	4133468	2363257
DA	3673367	2149067
DE	3702172	2264234
EL	3520392	2158737
EN	5897003	3465662
ES	3672342	2247897
ET	4157404	2395649
FI	3635751	2186855
FR	4173704	2662991
GA	44309	32011
HU	4289015	2586820
IT	3710917	2289116
LT	4215587	2504817
LV	4221833	2445117
MT	2592797	1666176
NL	3648794	2228295
PL	4161042	2534805
PT	4093752	2498385
RO	2251151	1405220
SH	276502	161108
SK	4216071	2472770
SL	4184398	2428517
SV	3739451	2225920
